Feature,Importance,Standard Deviation
EST_Corte_1,0.15299679492808246,0.03951920930794187
12_NDMI,0.13265675430027854,0.1232324920853273
EST_Corte_2,0.092980862836707,0.014180862802399065
02_surface_solar_radiation_downwards_sum,0.07252183560993923,0.026261904636788028
01_NDVIre1,0.036544958684553805,0.08636294631129908
07_Def,0.021703696316767718,0.012947698023692491
01_MSRre1,0.016936822906738546,0.05975079691762053
01_CIre1,0.014948089299658135,0.05598304460364059
12_SIWSI,0.014018321728413694,0.05151394268229361
EST_Corte_3,0.012671726568864837,0.001992888733770282
01_rededge1,0.011613485396033043,0.006500072622510706
07_Def_rel,0.011099035874466739,0.009408215444095189
03_Def_rel,0.011091278010021617,0.007651768136798962
12_CIre2,0.008249818848008012,0.00783168132019856
06_Def_rel,0.008076400403553653,0.007736868377209535
03_total_precipitation_sum,0.008027086886669414,0.0036111348194956708
12_NDVIre2,0.0069011994026270404,0.008059652001875695
15_Def_rel,0.00617401923746364,0.0028834939343904483
02_total_precipitation_sum,0.006020658624466447,0.0028547513413543094
03_NDWI2,0.00594471787133674,0.003661116207082687
12_total_precipitation_sum,0.005854958661064883,0.0032671187882885155
12_MSRre2,0.00583923766710241,0.0066982850638845105
01_NDWI1,0.005698013389897734,0.00945860554967541
03_surface_solar_radiation_downwards_sum,0.005462147301471244,0.0035379505901165925
12_NDWI2,0.005377023055689358,0.0017758936481281169
12_Def_rel,0.005215402655839763,0.0026290958072707434
01_NDWI2,0.005145835314566468,0.003077705986041454
14_Def,0.005015437437908682,0.006795358239593907
01_Def_rel,0.004827489524437588,0.0037344621627382196
01_NDVIre2,0.004811699158769953,0.006511734108781102
06_Def,0.0047798712929060455,0.005025911203832713
03_CIre2,0.004708323982796899,0.003961154385228413
12_swir1,0.004584594276636202,0.001731431519127113
01_total_precipitation_sum,0.004564012186005448,0.0027898895285701233
15_Def,0.004346866372204387,0.0030101834447492323
04_Def_rel,0.004245512358999794,0.0033349849087866952
VARIEDADE_RB867515,0.0042207788638244335,0.0028225557038222887
03_swir1,0.0041923752306713795,0.002504434823835646
03_Def,0.004170640100986032,0.0029807669706071
03_rededge1,0.0040925070844940155,0.0019029302381422576
03_NDWI1,0.003999148422891911,0.002347180802275969
05_Def,0.0039053816852505723,0.002404581275009344
01_swir2,0.0038205013508072956,0.018252865435237572
12_rededge1,0.0036670709503872235,0.001737848391963065
12_swir2,0.00366420118196643,0.0014916312423392602
04_Def,0.0036400158775777426,0.0024642373090827605
01_surface_solar_radiation_downwards_sum,0.0036129952407427486,0.0023065574559155027
02_NDWI2,0.0036066903902295345,0.001428440695747589
01_CIre2,0.0034996762135874153,0.005333583162573116
03_NDVIre2,0.00348333474029958,0.0030025544429517514
03_MSRre2,0.0034221619812490004,0.002962391102506835
10_Def_rel,0.003408027975430739,0.0025787024294693993
14_Def_rel,0.003334520061318855,0.0025575957512134506
02_swir1,0.0033018274040217815,0.0017334551160429798
12_Def,0.003294497035542194,0.0023379258766327527
03_swir2,0.0032930644714915473,0.0019319348205793102
01_Def,0.0032928965418368107,0.0029858442279917423
03_NDMI,0.0032451111650888716,0.0024738231094786267
01_rededge2,0.0032066953428654833,0.001346000434825161
02_rededge1,0.0031930945629798186,0.0016567189032220323
03_temperature_2m,0.00313821794058605,0.0023150496109520862
01_swir1,0.003109559734504253,0.0016585098471198572
12_rededge2,0.0030468498291319644,0.001303150415726978
03_rededge2,0.0029958454534225842,0.0011331386052642642
12_surface_solar_radiation_downwards_sum,0.002950914848395278,0.0022362745132415633
01_MSRre2,0.0028991670409806145,0.004387961290321013
09_Def_rel,0.0028754950641344383,0.001860370855936912
12_NDWI1,0.0028216226210957315,0.0012927786767312492
11_Def_rel,0.0027800290880978175,0.0020627884368812003
02_rededge2,0.002736328902125787,0.0011211810156434663
08_Def_rel,0.002688417753963947,0.0021477676892207626
05_Def_rel,0.002675426505337738,0.0018967642007183191
12_red,0.0026722572003153922,0.0014776284810603386
02_Def,0.002587695781613356,0.001618867908128376
